day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
0,0,CROISSANTS,4321.0,111.0,0.0,0.0,0.0,0.0,4322,111,0.0,0.0,0.0,0.0,4321.5,0.0
0,100,CROISSANTS,4321.0,147.0,0.0,0.0,0.0,0.0,4322,52,4323.0,95.0,0.0,0.0,4321.5,0.0
0,200,CROISSANTS,4321.0,152.0,0.0,0.0,0.0,0.0,4322,53,4323.0,99.0,0.0,0.0,4321.5,0.0
0,300,CROISSANTS,4321.0,128.0,0.0,0.0,0.0,0.0,4322,128,0.0,0.0,0.0,0.0,4321.5,0.0
0,400,CROISSANTS,4321.0,118.0,0.0,0.0,0.0,0.0,4322,118,0.0,0.0,0.0,0.0,4321.5,0.0
0,500,CROISSANTS,4321.0,98.0,0.0,0.0,0.0,0.0,4322,98,0.0,0.0,0.0,0.0,4321.5,0.0
0,600,CROISSANTS,4321.0,109.0,0.0,0.0,0.0,0.0,4323,109,0.0,0.0,0.0,0.0,4322.0,0.0
0,700,CROISSANTS,4321.0,126.0,0.0,0.0,0.0,0.0,4322,52,4323.0,74.0,0.0,0.0,4321.5,0.0
0,800,CROISSANTS,4321.0,94.0,0.0,0.0,0.0,0.0,4323,94,0.0,0.0,0.0,0.0,4322.0,0.0
0,900,CROISSANTS,4321.0,94.0,0.0,0.0,0.0,0.0,4322,38,4323.0,56.0,0.0,0.0,4321.5,0.0
0,1000,CROISSANTS,4321.0,122.0,0.0,0.0,0.0,0.0,4322,55,4323.0,67.0,0.0,0.0,4321.5,0.0
0,1100,CROISSANTS,4321.0,160.0,0.0,0.0,0.0,0.0,4322,61,4323.0,99.0,0.0,0.0,4321.5,0.0
0,1200,CROISSANTS,4321.0,113.0,0.0,0.0,0.0,0.0,4322,113,0.0,0.0,0.0,0.0,4321.5,0.0
0,1300,CROISSANTS,4321.0,50.0,4320.0,63.0,0.0,0.0,4322,120,0.0,0.0,0.0,0.0,4321.5,0.0
0,1400,CROISSANTS,4321.0,135.0,0.0,0.0,0.0,0.0,4322,135,0.0,0.0,0.0,0.0,4321.5,0.0
0,1500,CROISSANTS,4321.0,46.0,4320.0,90.0,0.0,0.0,4322,136,0.0,0.0,0.0,0.0,4321.5,0.0
0,1600,CROISSANTS,4320.0,149.0,0.0,0.0,0.0,0.0,4322,149,0.0,0.0,0.0,0.0,4321.0,0.0
0,1700,CROISSANTS,4320.0,101.0,0.0,0.0,0.0,0.0,4322,101,0.0,0.0,0.0,0.0,4321.0,0.0
0,1800,CROISSANTS,4320.0,136.0,0.0,0.0,0.0,0.0,4321,58,4322.0,78.0,0.0,0.0,4320.5,0.0
0,1900,CROISSANTS,4320.0,134.0,0.0,0.0,0.0,0.0,4321,134,0.0,0.0,0.0,0.0,4320.5,0.0
0,2000,CROISSANTS,4320.0,112.0,0.0,0.0,0.0,0.0,4321,112,0.0,0.0,0.0,0.0,4320.5,0.0
0,2100,CROISSANTS,4320.0,139.0,0.0,0.0,0.0,0.0,4321,139,0.0,0.0,0.0,0.0,4320.5,0.0
0,2200,CROISSANTS,4320.0,108.0,0.0,0.0,0.0,0.0,4321,108,0.0,0.0,0.0,0.0,4320.5,0.0
0,2300,CROISSANTS,4319.0,147.0,0.0,0.0,0.0,0.0,4321,147,0.0,0.0,0.0,0.0,4320.0,0.0
0,2400,CROISSANTS,4320.0,103.0,0.0,0.0,0.0,0.0,4321,103,0.0,0.0,0.0,0.0,4320.5,0.0
0,2500,CROISSANTS,4320.0,135.0,0.0,0.0,0.0,0.0,4321,135,0.0,0.0,0.0,0.0,4320.5,0.0
0,2600,CROISSANTS,4320.0,130.0,0.0,0.0,0.0,0.0,4321,130,0.0,0.0,0.0,0.0,4320.5,0.0
0,2700,CROISSANTS,4320.0,144.0,0.0,0.0,0.0,0.0,4321,144,0.0,0.0,0.0,0.0,4320.5,0.0
0,2800,CROISSANTS,4320.0,148.0,0.0,0.0,0.0,0.0,4321,148,0.0,0.0,0.0,0.0,4320.5,0.0
0,2900,CROISSANTS,4320.0,46.0,4319.0,57.0,0.0,0.0,4321,103,0.0,0.0,0.0,0.0,4320.5,0.0
